Номер вопроса,Ключевое слово/фраза,Вопрос,Ответ
1,cucuruza,Как вас зовут?,Vitalie
1,cucuruza,Как вас зовут?,dfyz
1,cucuruza,Как вас зовут?,Vitalie
1,cucuruza,Как вас зовут?,Testovii
1,cucuruza,Как вас зовут?,Testor123
1,cucuruza,Как вас зовут?,testor231
1,cucuruza,Как вас зовут?,Dwadaw
1,cucuruza,Как вас зовут?,qwd
1,cucuruza,Как вас зовут?,dawd
1,cucuruza,Как вас зовут?,daw
1,cucuruza,Как вас зовут?,jjj
1,cucuruza,Как вас зовут?,Vitalie
1,cucuruza,Как вас зовут?,testas
1,cucuruza,Как вас зовут?,ggg
2,cucuruza,Сколько вам лет?,16
2,cucuruza,Сколько вам лет?,76
2,cucuruza,Сколько вам лет?,16
2,cucuruza,Сколько вам лет?,777
2,cucuruza,Сколько вам лет?,999
2,cucuruza,Сколько вам лет?,0
2,cucuruza,Сколько вам лет?,213
2,cucuruza,Сколько вам лет?,111
2,cucuruza,Сколько вам лет?,wadaw
2,cucuruza,Сколько вам лет?,adawd
2,cucuruza,Сколько вам лет?,777
2,cucuruza,Сколько вам лет?,666
2,cucuruza,Сколько вам лет?,jh
2,cucuruza,Сколько вам лет?,ghfgfh
2,cucuruza,Сколько вам лет?,4
2,cucuruza,Сколько вам лет?,777
2,cucuruza,Сколько вам лет?,777
3,cucuruza,Как вы узнали о нас?,От друзей
3,cucuruza,Как вы узнали о нас?,От друзей
3,cucuruza,Как вы узнали о нас?,Другое...
3,cucuruza,Как вы узнали о нас?,От друзей
3,cucuruza,Как вы узнали о нас?,Другое...
3,cucuruza,Как вы узнали о нас?,От друзей
3,cucuruza,Как вы узнали о нас?,От друзей
3,cucuruza,Как вы узнали о нас?,Другое...
3,cucuruza,Как вы узнали о нас?,Другое...
3,cucuruza,Как вы узнали о нас?,От друзей
3,cucuruza,Как вы узнали о нас?,Другое...
3,cucuruza,Как вы узнали о нас?,В соцыальных сетях
3,cucuruza,Как вы узнали о нас?,Из мероприятии
3,cucuruza,Как вы узнали о нас?,Из мероприятии
3,cucuruza,Как вы узнали о нас?,В соцыальных сетях
3,cucuruza,Как вы узнали о нас?,В соцыальных сетях
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,None
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,нехера не пренесу
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,Nekakuiu 0
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,adawd
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,Nekakuiu
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,0
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,nekakuiuuuu
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,213
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,nekakuiu
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,-0
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,-0
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,nekjakuuuu
4,cucuruza,Какую пользу вы принисете участьем в нашей организацые?,nekakiuuu skazal je
5,cucuruza,Насколько полезен был для вас данный опрос?,10
5,cucuruza,Насколько полезен был для вас данный опрос?,4
5,cucuruza,Насколько полезен был для вас данный опрос?,6
5,cucuruza,Насколько полезен был для вас данный опрос?,10
5,cucuruza,Насколько полезен был для вас данный опрос?,3
5,cucuruza,Насколько полезен был для вас данный опрос?,10
5,cucuruza,Насколько полезен был для вас данный опрос?,10
5,cucuruza,Насколько полезен был для вас данный опрос?,8
5,cucuruza,Насколько полезен был для вас данный опрос?,2
5,cucuruza,Насколько полезен был для вас данный опрос?,4
5,cucuruza,Насколько полезен был для вас данный опрос?,10
5,cucuruza,Насколько полезен был для вас данный опрос?,4
5,cucuruza,Насколько полезен был для вас данный опрос?,3
